parameters_fuelbeds, Fuelbeds
consumption_summary_shrub_total,Shrub Consumption
consumption_summary_shrub_flaming,C_shrub_F
consumption_summary_shrub_smoldering,C_shrub_S
consumption_summary_shrub_residual,C_shrub_R
consumption_summary_nonwoody_total,Herb Consumption
consumption_summary_nonwoody_flaming,C_herb_F
consumption_summary_nonwoody_smoldering,C_herb_S
consumption_summary_nonwoody_residual,C_herb_R
consumption_summary_woody_fuels_total,Wood Consumption
consumption_summary_woody_fuels_flaming,C_wood_F
consumption_summary_woody_fuels_smoldering,C_wood_S
consumption_summary_woody_fuels_residual,C_wood_R
consumption_summary_litter-lichen-moss_total,LLM Consumption
consumption_summary_litter-lichen-moss_flaming,C_llm_F
consumption_summary_litter-lichen-moss_smoldering,C_llm_S
consumption_summary_litter-lichen-moss_residual,C_llm_R
consumption_summary_ground_fuels_total,Ground Consumption
consumption_summary_ground_fuels_flaming,C_ground_F
consumption_summary_ground_fuels_smoldering,C_ground_S
consumption_summary_ground_fuels_residual,C_ground_R

emissions_co2_flaming,E_co2_F
emissions_co2_smoldering,E_co2_S
emissions_co2_residual,E_co2_R
emissions_nmhc_flaming,E_nmhc_F
emissions_nmhc_smoldering,E_nmhc_S
emissions_nmhc_residual,E_nmhc_R
emissions_pm_flaming,E_pm_F
emissions_pm_smoldering,E_pm_S
emissions_pm_residual,E_pm_R
emissions_pm10_flaming,E_pm10_F
emissions_pm10_smoldering,E_pm10_S
emissions_pm10_residual,E_pm10_R
emissions_pm25_flaming,E_pm25_F
emissions_pm25_smoldering,E_pm25_S
emissions_pm25_residual,E_pm25_R

consumption_canopy_overstory_total,C_overstory_crown
consumption_canopy_midstory_total,C_midstory_crown
consumption_canopy_understory_total,C_understory_crown
consumption_canopy_snags_class_1_foliage_total,C_snagC1F_crown
consumption_canopy_snags_class_1_no_foliage_total,C_snagC1F_wood
consumption_canopy_snags_class_1_wood_total,C_snagC1_wood
consumption_canopy_snags_class_2_total,C_snagC2_wood
consumption_canopy_snags_class_3_total,C_snagC3_wood
consumption_canopy_ladder_fuels_total,C_ladder
consumption_shrub_primary_dead_total,C_shrub_1live
consumption_shrub_primary_live_total,C_shrub_1dead
consumption_shrub_secondary_dead_total,C_shrub_2live
consumption_shrub_secondary_live_total,C_shrub_2dead
consumption_nonwoody_primary_dead_total,C_herb_1live
consumption_nonwoody_primary_live_total,C_herb_1dead
consumption_nonwoody_secondary_dead_total,C_herb_2live
consumption_nonwoody_secondary_live_total,C_herb_2dead
consumption_woody_fuels_1-hr_fuels_total,C_wood_1hr
consumption_woody_fuels_10-hr_fuels_total,C_wood_10hr
consumption_woody_fuels_100-hr_fuels_total,C_wood_100hr
consumption_woody_fuels_1000-hr_fuels_sound_total,C_wood_S1000hr
consumption_woody_fuels_1000-hr_fuels_rotten_total,C_wood_R1000hr
consumption_woody_fuels_10000-hr_fuels_sound_total,C_wood_S10khr
consumption_woody_fuels_10000-hr_fuels_rotten_total,C_wood_R10khr
consumption_woody_fuels_10k+-hr_fuels_sound_total,C_wood_S+10khr
consumption_woody_fuels_10k+-hr_fuels_rotten_total,C_wood_R+10khr
consumption_woody_fuels_stumps_sound_total,C_stump_sound
consumption_woody_fuels_stumps_rotten_total,C_stump_rotten
consumption_woody_fuels_stumps_lightered_total,C_stump_lightered
consumption_litter-lichen-moss_litter_total,C_litter
consumption_litter-lichen-moss_lichen_total,C_lichen
consumption_litter-lichen-moss_moss_total,C_moss
consumption_ground_fuels_duff_upper_total,C_upperduff
consumption_ground_fuels_duff_lower_total,C_lowerduff
consumption_ground_fuels_basal_accumulations_total,C_basal_accum
consumption_ground_fuels_squirrel_middens_total,C_squirrel

emissions_stratum_ch4_canopy_total,CH4_canopy
emissions_stratum_ch4_shrub_total,CH4_shrub
emissions_stratum_ch4_nonwoody_total,CH4_herb
emissions_stratum_ch4_woody_fuels_total,CH4_wood
emissions_stratum_ch4_litter-lichen-moss_total,CH4_llm
emissions_stratum_ch4_ground_fuels_total,CH4_ground
emissions_stratum_co_canopy_total,CO_canopy
emissions_stratum_co_shrub_total,CO_shrub
emissions_stratum_co_nonwoody_total,CO_herb
emissions_stratum_co_woody_fuels_total,CO_wood
emissions_stratum_co_litter-lichen-moss_total,CO_llm
emissions_stratum_co_ground_fuels_total,CO_ground
emissions_stratum_co2_canopy_total,CO2_canopy
emissions_stratum_co2_shrub_total,CO2_shrub
emissions_stratum_co2_nonwoody_total,CO2_herb
emissions_stratum_co2_woody_fuels_total,CO2_wood
emissions_stratum_co2_litter-lichen-moss_total,CO2_llm
emissions_stratum_co2_ground_fuels_total,CO2_ground
emissions_stratum_nmhc_canopy_total,NMHC_canopy
emissions_stratum_nmhc_shrub_total,NMHC_shrub
emissions_stratum_nmhc_nonwoody_total,NMHC_herb
emissions_stratum_nmhc_woody_fuels_total,NMHC_wood
emissions_stratum_nmhc_litter-lichen-moss_total,NMHC_llm
emissions_stratum_nmhc_ground_fuels_total,NMHC_ground
emissions_stratum_pm_canopy_total,PM_canopy
emissions_stratum_pm_shrub_total,PM_shrub
emissions_stratum_pm_nonwoody_total,PM_herb
emissions_stratum_pm_woody_fuels_total,PM_wood
emissions_stratum_pm_litter-lichen-moss_total,PM_llm
emissions_stratum_pm_ground_fuels_total,PM_ground
emissions_stratum_pm10_canopy_total,PM10_canopy
emissions_stratum_pm10_shrub_total,PM10_shrub
emissions_stratum_pm10_nonwoody_total,PM10_herb
emissions_stratum_pm10_woody_fuels_total,PM10_wood
emissions_stratum_pm10_litter-lichen-moss_total,PM10_llm
emissions_stratum_pm10_ground_fuels_total,PM10_ground
emissions_stratum_pm25_canopy_total,PM25_canopy
emissions_stratum_pm25_shrub_total,PM25_shrub
emissions_stratum_pm25_nonwoody_total,PM25_herb
emissions_stratum_pm25_woody_fuels_total,PM25_wood
emissions_stratum_pm25_litter-lichen-moss_total,PM25_llm
emissions_stratum_pm25_ground_fuels_total,PM25_ground

heat_release_total,Total Heat Release
heat_release_flaming,Flaming Heat Release
heat_release_smoldering,Smoldering Heat Release
heat_release_residual,Residual Heat Release
